Fallout radionuclide concentrations in the Borreguil Lake sediment core SSBG-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,210Pb,,,,,,,,,,,,,,,,,,,,,,,,,,
Depth,,Total,,Unsupported,,Supported,,137Cs,,,,,,,,,,,,,,,,,,,,
cm,g cm-2,Bq kg-1,±,Bq kg-1,±,Bq kg-1,±,Bq kg-1,±,,,,,,,,,,,,,,,,,,,
0.125,0.01,864.5,28.1,832.8,28.5,31.7,4.8,162.7,6.1,,,,,,,,,,,,,,,,,,,
0.625,0.1,910.6,33.1,883.9,33.5,26.6,5.4,155.8,5.9,,,,,,,,,,,,,,,,,,,
1.125,0.17,848.7,26.2,806.4,26.8,42.3,5.4,199.4,6.3,,,,,,,,,,,,,,,,,,,
1.625,0.26,625.6,28.8,593.7,29.2,31.9,4.6,235.3,7.5,,,,,,,,,,,,,,,,,,,
2.125,0.35,325.5,25.1,287.2,25.5,38.3,4.9,116,5.2,,,,,,,,,,,,,,,,,,,
2.625,0.46,323.7,27.5,297.9,28.2,25.9,6.2,75.9,5.7,,,,,,,,,,,,,,,,,,,
3.125,0.56,238.3,18.7,208.8,19.3,29.5,4.8,27.9,3.5,,,,,,,,,,,,,,,,,,,
3.625,0.68,203.5,17.8,168.6,18.1,35,3.2,24.2,2.2,,,,,,,,,,,,,,,,,,,
4.125,0.8,187,13.3,160.1,13.6,27,2.9,13.2,2.2,,,,,,,,,,,,,,,,,,,
4.625,0.93,111.7,9.8,78.8,10,32.9,2.2,17,1.8,,,,,,,,,,,,,,,,,,,
5.125,1.08,82.1,8.3,54.4,8.6,27.7,2.2,14.3,1.5,,,,,,,,,,,,,,,,,,,
5.625,1.21,46.9,7.2,20.9,7.4,25.9,2,6.9,1.4,,,,,,,,,,,,,,,,,,,
6.125,1.35,47.4,12,14.9,12.3,32.5,2.9,5.3,1.9,,,,,,,,,,,,,,,,,,,
6.625,1.49,45.2,4.4,8.1,5.3,37,2.9,6.5,1.9,,,,,,,,,,,,,,,,,,,
7.125,1.62,35,7.4,7.4,7.6,27.6,1.8,4.7,1.4,,,,,,,,,,,,,,,,,,,
8.125,1.87,35.6,6.2,5.9,8.3,29.7,5.5,1.7,2.7,,,,,,,,,,,,,,,,,,,
10,2.44,42.1,7.9,15.8,8.1,26.3,1.9,2.9,1.3,,,,,,,,,,,,,,,,,,,
14,3.73,27.2,10.4,-0.7,10.8,28,2.9,0,0,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
